date,calendar_type,event_name,is_working_day
2005-01-01,Canada,New Year's Day,1
2005-01-01,US,New Year's Day,1
2005-01-17,US,MLK Day,1
2005-02-21,US,Presidents' Day,1
2005-03-25,Canada,Good Friday,1
2005-05-23,Canada,Victoria Day,1
2005-05-30,Company,Memorial Day,0
2005-05-30,US,Memorial Day,1
2005-07-01,Canada,Canada Day,1
2005-07-04,Company,Independence Day,0
2005-07-04,US,Independence Day,1
2005-08-01,Canada,Civic Holiday,1
2005-09-05,Canada,Labour Day,1
2005-09-05,Company,Labor Day,0
2005-09-05,US,Labor Day,1
2005-10-10,Canada,Canadian Thanksgiving,1
2005-11-24,Company,Thanksgiving,0
2005-11-24,US,Thanksgiving,1
2005-11-25,Company,Day after Thanksgiving,0
2005-11-25,US,Day after Thanksgiving,1
2005-12-25,Canada,Christmas Day,1
2005-12-25,US,Christmas Day,1
2005-12-26,Canada,Boxing Day,1
2005-12-26,Company,Christmas Day (Observed),0
2006-01-01,Canada,New Year's Day,1
2006-01-01,US,New Year's Day,1
2006-01-02,Company,New Year's Day (Observed),0
2006-01-16,US,MLK Day,1
2006-02-20,US,Presidents' Day,1
2006-04-14,Canada,Good Friday,1
2006-05-22,Canada,Victoria Day,1
2006-05-29,Company,Memorial Day,0
2006-05-29,US,Memorial Day,1
2006-07-01,Canada,Canada Day,1
2006-07-04,Company,Independence Day,0
2006-07-04,US,Independence Day,1
2006-08-07,Canada,Civic Holiday,1
2006-09-04,Canada,Labour Day,1
2006-09-04,Company,Labor Day,0
2006-09-04,US,Labor Day,1
2006-10-09,Canada,Canadian Thanksgiving,1
2006-11-23,Company,Thanksgiving,0
2006-11-23,US,Thanksgiving,1
2006-11-24,Company,Day after Thanksgiving,0
2006-11-24,US,Day after Thanksgiving,1
2006-12-25,Canada,Christmas Day,1
2006-12-25,Company,Christmas Day,0
2006-12-25,US,Christmas Day,1
2006-12-26,Canada,Boxing Day,1
2007-01-01,Canada,New Year's Day,1
2007-01-01,Company,New Year's Day,0
2007-01-01,US,New Year's Day,1
2007-01-15,US,MLK Day,1
2007-02-19,US,Presidents' Day,1
2007-04-06,Canada,Good Friday,1
2007-05-21,Canada,Victoria Day,1
2007-05-28,Company,Memorial Day,0
2007-05-28,US,Memorial Day,1
2007-07-01,Canada,Canada Day,1
2007-07-04,Company,Independence Day,0
2007-07-04,US,Independence Day,1
2007-08-06,Canada,Civic Holiday,1
2007-09-03,Canada,Labour Day,1
2007-09-03,Company,Labor Day,0
2007-09-03,US,Labor Day,1
2007-10-08,Canada,Canadian Thanksgiving,1
2007-11-22,Company,Thanksgiving,0
2007-11-22,US,Thanksgiving,1
2007-11-23,Company,Day after Thanksgiving,0
2007-11-23,US,Day after Thanksgiving,1
2007-12-25,Canada,Christmas Day,1
2007-12-25,Company,Christmas Day,0
2007-12-25,US,Christmas Day,1
2007-12-26,Canada,Boxing Day,1
2008-01-01,Canada,New Year's Day,1
2008-01-01,Company,New Year's Day,0
2008-01-01,US,New Year's Day,1
2008-01-21,US,MLK Day,1
2008-02-18,US,Presidents' Day,1
2008-03-21,Canada,Good Friday,1
2008-05-19,Canada,Victoria Day,1
2008-05-26,Company,Memorial Day,0
2008-05-26,US,Memorial Day,1
2008-07-01,Canada,Canada Day,1
2008-07-04,Company,Independence Day,0
2008-07-04,US,Independence Day,1
2008-08-04,Canada,Civic Holiday,1
2008-09-01,Canada,Labour Day,1
2008-09-01,Company,Labor Day,0
2008-09-01,US,Labor Day,1
2008-10-13,Canada,Canadian Thanksgiving,1
2008-11-27,Company,Thanksgiving,0
2008-11-27,US,Thanksgiving,1
2008-11-28,Company,Day after Thanksgiving,0
2008-11-28,US,Day after Thanksgiving,1
2008-12-25,Canada,Christmas Day,1
2008-12-25,Company,Christmas Day,0
2008-12-25,US,Christmas Day,1
2008-12-26,Canada,Boxing Day,1
2009-01-01,Canada,New Year's Day,1
2009-01-01,Company,New Year's Day,0
2009-01-01,US,New Year's Day,1
2009-01-19,US,MLK Day,1
2009-02-16,US,Presidents' Day,1
2009-04-10,Canada,Good Friday,1
