retail_year,retail_year_start_date,retail_year_end_date,weeks_in_retail_year,is_53_week_retail_year
2004,2004-02-01,2005-01-29,52,0
2005,2005-01-30,2006-01-28,52,0
2006,2006-01-29,2007-02-03,53,1
2007,2007-02-04,2008-02-02,52,0
2008,2008-02-03,2009-01-31,52,0
2009,2009-02-01,2010-01-30,52,0
2010,2010-01-31,2011-01-29,52,0
2011,2011-01-30,2012-01-28,52,0
2012,2012-01-29,2013-02-02,53,1
2013,2013-02-03,2014-02-01,52,0
2014,2014-02-02,2015-01-31,52,0
2015,2015-02-01,2016-01-30,52,0
2016,2016-01-31,2017-01-28,52,0
2017,2017-01-29,2018-02-03,53,1
2018,2018-02-04,2019-02-02,52,0
2019,2019-02-03,2020-02-01,52,0
2020,2020-02-02,2021-01-30,52,0
2021,2021-01-31,2022-01-29,52,0
2022,2022-01-30,2023-01-28,52,0
2023,2023-01-29,2024-02-03,53,1
2024,2024-02-04,2025-02-01,52,0
2025,2025-02-02,2026-01-31,52,0
2026,2026-02-01,2027-01-30,52,0
2027,2027-01-31,2028-01-29,52,0
2028,2028-01-30,2029-02-03,53,1
2029,2029-02-04,2030-02-02,52,0
2030,2030-02-03,2031-02-01,52,0
2031,2031-02-02,2032-01-31,52,0
2032,2032-02-01,2033-01-29,52,0
2033,2033-01-30,2034-01-28,52,0
2034,2034-01-29,2035-02-03,53,1
2035,2035-02-04,2036-02-02,52,0
2036,2036-02-03,2037-01-31,52,0
