rule_id,priority,product_group,product_subgroup,gender,adult_child,style,brand,genre,age_look,size,size_weight,size_rank,is_core_size,size_system,size_sort_order,is_active,effective_start_date,effective_end_date,notes
BODY_MC,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,MC,0.218565,1,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (21.86% of units)
BODY_SC,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,SC,0.203229,2,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (20.32% of units)
BODY_LC,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,LC,0.132392,3,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (13.24% of units)
BODY_SA,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,SA,0.076885,4,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (7.69% of units)
BODY_MA,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,MA,0.055832,5,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (5.58% of units)
BODY_T,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,T,0.048741,6,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (4.87% of units)
BODY_SA_MA,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,SA/MA,0.045548,7,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (4.55% of units)
BODY_XLC,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,XLC,0.035442,8,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (3.54% of units)
BODY_SC_MC,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,SC/MC,0.032755,9,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (3.28% of units)
BODY_LA,90,Dancewear,Bodywear,ALL,ALL,ALL,ALL,ALL,ALL,LA,0.023543,10,,,,1,2025-07-01,9999-12-31,FY24-26 Sales Curve - Bodywear (2.35% of units)
